episod,score,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
42,10810.8832584,2.65854344822,-1.85472384726,0.0,2.21605406452,3.67007074156,0.0,4.50931494593,-3.71497485708,-15.1142648123,-13.2660989219,-22.1871535648,0.0,730.817312536,145.836980953,562.053954106,400.690175479
43,10535.9948668,3.32101478944,-0.705685636968,0.0,0.0658645148048,3.55689454429,0.0,4.63035012351,-0.0768386784091,-15.6791837825,-13.0166743748,-20.8885337633,0.0,692.336915725,201.486205338,543.069772346,403.305727783
44,10763.9080666,5.02201597519,-0.0356360815476,0.0,1.61422618301,5.49654472646,0.0,4.13127030925,2.93636167474,-13.8220300192,-14.3061024414,-18.079802829,0.0,579.799077837,246.177393992,559.641870505,395.229357388
45,10315.3018523,3.24347055278,-1.67975316676,0.0,4.70611211501,4.4476677931,0.0,4.97533896465,-2.834718479,-12.9811714974,-13.4011030538,-20.619762524,0.0,725.51217788,101.390222673,624.210669407,422.927321359
46,10484.4738219,3.75355092581,-1.13713993811,0.0,4.16589579367,3.11540643228,0.0,5.93839370986,-0.112634623827,-13.1607302555,-13.4697592347,-21.4018923659,0.0,711.987099461,118.92881643,606.948971283,430.968427114
47,10599.0018055,3.84011229468,-0.357223512254,0.0,5.22145413631,2.74101615127,0.0,5.2015919223,1.81179645349,-14.2244252278,-12.0336269376,-22.2082142991,0.0,721.873264086,128.699687782,538.89047309,427.305640626
48,11065.294893,3.67736383903,-0.964985787955,0.0,0.296427902952,5.59374560311,0.0,3.367679671,0.364083692002,-15.3965640579,-11.7005325717,-20.3708293399,0.0,749.153061181,155.807581836,521.028757271,418.404903747
49,10742.6397578,3.0913768265,-1.31170608949,0.0,1.27389609533,3.02731307285,0.0,4.41361983337,-2.45259558719,-15.3830533339,-10.7083662897,-24.1808994574,0.0,765.012123586,132.921997255,523.833311207,433.041853882
50,10770.4234676,0.883968821017,-1.71885880292,0.0,5.50762280021,3.49421388599,0.0,3.05191675848,-0.757473946244,-12.4817876546,-6.73978929432,-24.423661232,0.0,816.028063787,76.5539766568,567.481420896,506.108031021
51,10823.7551458,-1.03557528437,-1.82659136513,0.0,0.144085042253,2.77289582417,0.0,1.2355043125,0.20163538968,-13.3497935234,-4.8225859665,-22.3651903153,0.0,715.553710071,193.408786173,476.253025533,485.927822194
52,10629.0476069,2.45745969762,-2.25908433852,0.0,3.13052571717,5.10293837999,0.0,2.05770559001,-4.61811992327,-14.6881161885,-8.34998908617,-25.9599309217,0.0,855.295860894,60.4882409248,511.634113816,480.741404404
53,10345.2841723,1.86247815535,2.86150903563,0.0,2.35957129606,5.19933867128,0.0,2.18807112683,3.99580792423,-14.9145491066,-2.08411060104,-22.5244129425,0.0,751.691734275,154.27409974,558.988259376,528.211868544
54,10472.2420169,-3.3399615498,1.23554806824,0.0,2.22853074951,4.27824965989,0.0,-0.162963285828,1.05843760951,-12.533649218,3.12751498222,-21.6967928281,0.0,759.043023913,131.13016968,597.10995489,582.802541268
55,10927.1031099,3.34511223292,2.93184855574,0.0,0.819783381078,5.35623513385,0.0,2.4977731325,4.63356804062,-13.1405032266,-5.90997300679,-22.3893293052,0.0,772.950588717,132.581481556,577.722076859,498.706552572
56,10403.81665,-1.29046304275,-0.401578631126,0.0,0.265263917632,1.58786122176,0.0,-0.426963959117,-0.0298155813915,-13.4724017722,-1.6291076728,-21.6210765057,0.0,649.676543006,198.713625172,541.750196538,539.745668693
57,11010.7117143,3.58944415252,0.753861244669,0.0,5.56888762855,5.27102346906,0.0,3.21544302336,0.514476609168,-14.5371259159,-8.64969805795,-26.3204477213,0.0,837.03237512,63.9976442457,529.988392986,497.057477085
58,11094.8229419,-1.63273506362,0.0975052884002,0.0,0.840258262128,6.15174754124,0.0,-3.07594139091,0.560031375453,-14.3303138093,2.92309030058,-18.7780766682,0.0,575.430623544,200.399067531,554.044185728,541.219713804
59,10920.5287568,1.78865747464,-0.186305073255,0.0,4.06059981065,4.28511470793,0.0,2.18320734871,-0.354519359002,-16.9272698561,-1.53451510333,-26.9419368898,0.0,853.248380976,52.9598101275,607.373032315,604.530146946
60,10681.1370827,4.1565732685,1.3576515471,0.0,5.25022993618,1.54831849776,0.0,3.79216928933,1.30917968684,-14.4008143758,-6.92607830688,-28.1659553879,0.0,888.357289435,18.3598136734,603.731358361,594.812736237
61,10903.5508002,-0.030313048332,1.24233583574,0.0,0.320496821347,1.31207075523,0.0,0.489462473314,0.192378709594,-15.8650238083,5.42770016093,-28.0351334192,0.0,880.36395683,25.385079544,594.187220079,659.574473397
62,10739.2148888,-0.773861878097,-0.859146536076,0.0,4.95058001793,4.53910182399,0.0,-0.549171105745,-1.54118331376,-15.1816246033,2.64994893758,-27.3012321824,0.0,866.931722075,38.5189322718,627.812214268,648.962917158
