time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,0.120649059502,-0.0180405490232,11.8571615984,0.0362585342348,6.22288140272,0.0,0.336376600079,0.0453332821885,2.75284570753,0.115007566875,-0.0568356895357,0.0,477.95083119595216,479.5818202130389,477.9385663267854,479.8415916477721
1.3800000000000008,0.142086194172,-0.0145476146558,12.0252599483,0.0427728964865,6.22022713442,0.0,0.378478049642,0.0717742252686,2.85014107907,0.0908560421088,-0.0266444749164,0.0,442.8524702691936,445.32753367885306,444.77172477701043,442.79943334873207
1.4400000000000008,0.166231606376,-0.00924676319156,12.201297219,0.0486817159009,6.21840202662,0.0,0.426528825283,0.105540451614,3.01728956004,0.110502303501,-0.0392995121035,0.0,466.13872867537606,465.148456889704,465.6040080337348,467.1461581675791
1.5000000000000009,0.193061981658,-0.00196650724435,12.3836545395,0.055195797886,6.21619707176,0.0,0.468019167658,0.137743672493,3.06111373521,0.1043919249,-0.0320837580728,0.0,428.2789124127743,428.89152476094046,428.5942979398595,428.08549752744136
1.560000000000001,0.222531159055,0.00745971602414,12.5702527624,0.0615676402455,6.2141839098,0.0,0.514464384356,0.177089367787,3.15849692048,0.109580934808,-0.0366648361937,0.0,445.65405625795466,445.27899420244705,446.30328669949614,446.7364170964345
1.620000000000001,0.254708033243,0.0192696662458,12.7609486404,0.06787740826,6.21185105336,0.0,0.558296011699,0.217167816558,3.19785269765,0.0944194501069,-0.0437276308744,0.0,428.7086675464048,428.10728953646543,428.46395496135074,427.1830162507173
1.680000000000001,0.28960019957,0.0336398850631,12.9545628033,0.0741855342469,6.20939115713,0.0,0.605001810552,0.262404206325,3.25571050338,0.120767618211,-0.0360342030037,0.0,434.3335785796743,434.9774129032902,433.29202984824985,435.5111145682464
1.740000000000001,0.327284469073,0.0507949118244,13.1508903273,0.0809957136125,6.20723103214,0.0,0.651325827553,0.310072825046,3.28835877518,0.092180919482,-0.0359379356462,0.0,427.0557850319539,427.06336009024596,427.8749547325705,425.44582397763315
1.8000000000000012,0.368025194055,0.071186868543,13.3522748634,0.0869367208107,6.20575608777,0.0,0.706847675001,0.370240010239,3.42396596795,0.110025628165,-0.00825855142594,0.0,458.9046652365394,461.09642300546443,458.9993790796799,460.42134097849544
1.8600000000000012,0.412493933187,0.0957443687653,13.5665685797,0.0932497501756,6.20609404115,0.0,0.775359886082,0.449104921998,3.71813048614,0.0932698285112,0.0244826587051,0.0,504.9028775034856,507.2595494567111,508.4061027911029,507.212175853298
1.9200000000000013,0.460289447313,0.124260437616,13.788603391,0.0985039658133,6.20725021736,0.0,0.817710252237,0.501886169332,3.68308395945,0.0726307514002,0.00599665220259,0.0,408.44910729246527,406.79699263971463,408.92093073928413,407.08503649050385
1.9800000000000013,0.510712104785,0.156162848427,14.0098964863,0.102843197962,6.20706034795,0.0,0.863009102271,0.561904388554,3.69325085737,0.0716931251932,-0.0366260575509,0.0,424.05526828992237,420.377709956193,423.8490460911771,423.77277098154633
2.0400000000000014,0.563781310855,0.191633214351,14.2307316615,0.106873069468,6.20515383044,0.0,0.906130294921,0.620790363294,3.66791815993,0.0560815675598,-0.0235092576866,0.0,409.8110242054058,410.97487918971524,412.8672610853218,411.49115443458
2.1000000000000014,0.619871599599,0.23125557776,14.4551757122,0.110463482341,6.2036244934,0.0,0.963654769646,0.700270848196,3.81297134233,0.0664573608826,-0.0297749429751,0.0,466.1207584396453,465.63073062607793,465.76935548410444,466.5824771223798
2.1600000000000015,0.679351163894,0.275595478406,14.6871343386,0.114577788355,6.20236483884,0.0,1.01910674056,0.778089395606,3.91851276024,0.0724947524389,-0.00755045589079,0.0,454.3637978550114,456.14214240000035,454.79125456314284,455.27801689115074
2.2200000000000015,0.742078037108,0.324548823159,14.9241955506,0.118893979627,6.20160970428,0.0,1.07181005378,0.854068389847,3.98319706657,0.0707966501841,-0.0252728671103,0.0,444.79778570874237,443.3440057781921,442.59437732670307,442.4585991353572
2.2800000000000016,0.808259101017,0.3785447079,15.1684635841,0.123019046554,6.20003158622,0.0,1.1343316411,0.946174203448,4.1583025604,0.0643118261007,-0.0284436637458,0.0,478.1371979477562,477.8954628074134,477.9622693442221,477.47095747479716
